source,title,url,summary,tags,published,score,Primary,Secondary,group_id,group_size
Business of Fashion,Temu US Sales Plunge 25% Amid Tariff Barrage,https://www.businessoffashion.com/news/retail/temu-us-slaes-drop-tariffs-shein/,"Temu’s US sales are declining due to significant cuts in advertising spending, a direct consequence of new tariffs, while Shein’s sales have begun to recover.",[],2025-06-20T09:47:47,10,INDUSTRY,"TARIFFS/SUPPLY CHAIN, FINANCIALS",ungrouped,1
Business of Fashion,Elliott-Backed Claire’s Eyes Sale as Tariffs Hit Budget Jeweller,https://www.businessoffashion.com/news/retail/elliott-backed-claires-eyes-sale-as-tariffs-hit-budget-jeweller/,Claire’s needs to address a nearly $500 million loan due in December 2026 and recently chose to defer interest payments on its debt to conserve cash.,[],2025-06-23T17:07:24,10,INDUSTRY,"FINANCIALS, TARIFFS/SUPPLY CHAIN",ungrouped,1
Business of Fashion,Report: Unilever to Pay $1.5 Billion For Dr. Squatch,https://www.businessoffashion.com/news/beauty/report-unilever-to-pay-15-billion-for-dr-squatch/,"The mass personal care brand’s sale price topped £1 billion, according to a report in the Financial Times.",[],2025-06-27T11:23:46,10,INDUSTRY,"M&A, FINANCIALS",ungrouped,1
WWD,Global Beauty Giants’ Early Bets on the Eastern Fragrance Wave,https://wwd.com/beauty-industry-news/fragrance/global-beauty-giants-early-bets-niche-fragrance-asia-1237916146/,Strategics’ venture capital arms are placing bets on niche Asian fragrance brands being the next big thing amid changing habits in the region.,"['Fragrance', 'beauty', 'Estée Lauder', 'fragrance', 'investment', 'L’Oréal']",2025-06-27T04:29:00,10,FRAGRANCE,"INVESTMENT, GEN Z",ungrouped,1
Business of Fashion,Exclusive: Roberto Cavalli CEO to Exit as Owner Seeks Sale,https://www.businessoffashion.com/news/luxury/roberto-cavalli-ceo-exit-owner-seeks-stake-sale/,Sergio Azzolari is stepping down after less than three years at the helm of the Italian label as its Dubai-based owner aims to bring on a strategic partner to support growth at the loss-making brand.,[],2025-06-27T19:02:51,10,INDUSTRY,"FINANCIALS, M&A",ungrouped,1
Glossy,The fragrance brands dominating Instagram are not the same ones making bank on TikTok,https://www.glossy.co/beauty/the-fragrance-brands-dominating-instagram-are-not-the-same-ones-making-bank-on-tiktok/?utm_campaign=glossydis&utm_medium=rss&utm_source=general-rss,"Luxury brands like Parfums de Marly and Kilian dominated Instagram for the month of May, according to a new report from Mintoiro. The more polished aesthetic dominant on Instagram does not always translate well to TikTok’s more DIY appeal, however.",['Beauty'],2025-06-25T04:04:00,9,FRAGRANCE,"TIKTOK, GEN Z",ungrouped,1
Business of Fashion,How Prestige Beauty Customers Define Value Today,https://www.businessoffashion.com/articles/beauty/how-prestige-beauty-consumers-define-value-today-unilever-prestige-ceo-mary-carmen-gasco-buisson-interview/,"At The Business of Beauty Global Forum 2025, Unilever Prestige’s CEO, Mary Carmen Gasco-Buisson, shares how shifting consumer expectations around value are reshaping prestige beauty, in conversation with BoF’s chief business officer and head of beauty, Johanna Stout.",[],2025-06-20T04:00:00,9,INDUSTRY,"RETAIL STRATEGY, GEN Z",ungrouped,1
Glossy,Can the body mist category grow up?,https://www.glossy.co/beauty/can-the-body-mist-category-grow-up/?utm_campaign=glossydis&utm_medium=rss&utm_source=general-rss,"Many new body-mist launches are explicitly targeting the lucrative Gen-Z and Gen-Alpha fragrance consumer. But with the category growing more crowded, others are experimenting with body mists featuring sophisticated scents, high-touch packaging, and additional skin and hair benefits to stand out as more than just an appeal to wallet-conscious teens and tweens.",['Beauty'],2025-06-30T04:03:00,9,FRAGRANCE,"NEW LAUNCH, GEN Z",ungrouped,1
Business of Fashion,The Founders Pushing African Fragrance Into the Mainstream,https://www.businessoffashion.com/articles/beauty/african-fragrance-brands-havent-hit-the-mainstream-yet-these-founders-want-to-change-that/,"Across the continent, a handful of nascent brands are attempting to kickstart the continent’s own niche perfume moment. Success will take mastery of retail, e-commerce and branding across borders.",[],2024-10-15T04:45:00,9,FRAGRANCE,"RETAIL STRATEGY, GEN Z",ungrouped,1
Business of Fashion,The Indie Beauty Brands Transforming Africa’s Hair Care Market,https://www.businessoffashion.com/articles/beauty/the-indie-beauty-brands-transforming-africas-hair-care-market/,"A crop of upstart brands are betting on Africa for their next global expansion, ready to benefit from the continent’s growing middle class. To kick-start Africa’s premium hair care market, they’ll need to carefully consider marketing and retailer strategy, as well create a new value proposition.",[],2024-12-11T09:47:00,9,INDUSTRY,"RETAIL STRATEGY, NEW LAUNCH",ungrouped,1
Business of Fashion,Calvin Klein Bets on Body Sprays to Be Gen-Z’s Obsession,https://www.businessoffashion.com/articles/beauty/calvin-klein-launches-body-mists/,"As the fight for teen relevancy and wallet share intensifies, the Coty-produced fragrance line will launch an all-new collection of affordable body mists.",[],2025-06-23T12:00:00,9,FRAGRANCE,"NEW LAUNCH, GEN Z",ungrouped,1
Beauty Independent,19-Year-Old College Student Launches Beauty Site To Separate Science-Backed Beauty From Marketing BS,https://www.beautyindependent.com/utopia-beauty-site-science-backed-beauty/,"At Utopia Beauty , it’s all about showing the proof. Launched on May 31, the new e-tailer offers about 50 products from 13 beauty brands across skincare, makeup, haircare, body and wellness that are backed by clinical studies. Products with unsubstantiated marketing claims aren’t allowed on ... The post 19-Year-Old College Student Launches Beauty Site To Separate Science-Backed Beauty From Marketing BS appeared first on Beauty Independent .","['Retail Report', 'beauty e-commerce', 'beauty entrepreneurs', 'beauty retail', 'clinical testing', 'e-commerce', 'retail', 'science', 'science-backed beauty', 'Utopia Beauty']",2025-06-25T23:51:21,8,RETAIL,"NEW LAUNCH, GEN Z, SCIENCE",ungrouped,1
Business of Fashion,BoF Insights | The New Era of Fashion E-Commerce,https://www.businessoffashion.com/reports/retail/bof-insights-e-commerce-retail-amazon-fashion-sports/,"Based on a proprietary survey of fashion shoppers across the EU5 — those in the UK, Germany, France Italy and Spain — and BoF Insights intelligence, this new report, developed in collaboration with Amazon Fashion & Sports in Europe, reveals how fashion brands can meet rising customer expectations and nurture long-term loyalty in an increasingly competitive online retail landscape.",[],2025-06-23T04:30:00,8,RETAIL,"RETAIL STRATEGY, PARTNERSHIP",ungrouped,1
Business of Fashion,The ‘Silicon Valleys’ of Beauty Brace for Tariffs,https://www.businessoffashion.com/articles/beauty/korea-australia-niche-beauty-capital-hubs/,"From Seoul to Melbourne, new cities are emerging as frontrunners in the beauty start-up space. The independent brands created in these hubs are fast becoming hot acquisition targets, but understanding the limits of their global appeal is key.",[],2025-06-25T04:00:00,7,INDUSTRY,TARIFFS/SUPPLY CHAIN,ungrouped,1
Business of Fashion,This Week: Nike’s Earnings and Jonathan Anderson’s Dior Debut,https://www.businessoffashion.com/briefings/retail/this-week-nikes-earnings-and-jonathan-andersons-dior-debut/,"In their own ways, both companies will provide major updates on how they plan to win back customers.",[],2025-06-22T12:00:00,7,INDUSTRY,FINANCIALS,ungrouped,1
Business of Fashion,Fashion’s Suppliers Want More Say on Climate Action,https://www.businessoffashion.com/news/sustainability/fashion-sustainability-manufacturers-climate-apparel-textile-transformation-initative/,"A new initiative led by apparel and textile manufacturers aims to give suppliers a bigger voice at the table. At present, “brands just make a statement and then expect us to pay the bill for it,’ said Bangladesh-based manufacturer Miran Ali.",[],2025-06-26T16:21:30,7,INDUSTRY,TARIFFS/SUPPLY CHAIN,ungrouped,1
