source,title,url,summary,tags,published
Business of Fashion,Hoyeon Stars in La Beauté Louis Vuitton’s First Campaign,https://www.businessoffashion.com/news/beauty/la-beaute-louis-vuittons-first-campaign-stars-hoyeon/,The luxury giant’s inaugural makeup collection was shot by Steven Meisel and features the ‘Squid Game’ actress alongside a cast of models.,[],2025-08-20T15:10:03
Business of Fashion,The State of Fashion: Beauty Report — Solving the Growth Puzzle,https://www.businessoffashion.com/reports/state-of-fashion-beauty-industry-report/,"Beauty’s era of effortless growth is giving way to a more complex landscape. Download the second volume of BoF and McKinsey & Company’s industry report to learn how to navigate evolving consumer expectations, market deceleration and regional volatility in the years ahead.",[],2025-06-09T04:30:00
Business of Fashion,Global Beauty Firms Look to Carve Up Indian Market As ‘Last Bastion’ of Growth,https://www.businessoffashion.com/news/beauty/global-beauty-firms-look-to-carve-up-indian-market-as-last-bastion-of-growth/,"Global cosmetics giants like Shiseido, L’Oréal, and Estée Lauder are significantly increasing their investments in India’s booming luxury beauty market, which is projected to quintuple by 2035.",[],2025-08-21T10:39:14
Business of Fashion,Swiss Watch Exports Bounce Back in July Ahead of US Tariffs,https://www.businessoffashion.com/news/luxury/swiss-watch-exports-bounce-back-in-july-ahead-of-us-tariffs/,"Swiss watch exports saw growth in July, driven by increased shipments to the US ahead of higher trade tariffs, although global demand remains sluggish due to “luxury fatigue” and worsening consumer sentiment.",[],2025-08-21T09:32:14
Business of Fashion,Estée Lauder Companies Says Its Turnaround Is Working — Slowly,https://www.businessoffashion.com/articles/beauty/estee-lauder-full-year-2025-earnings/,"The company’s recovery plan is underway, and green shoots are appearing in key areas like China. But its core brands are still struggling, and competition is stacking up.",[],2025-08-21T04:30:00
Business of Fashion,Exclusive: The North Face Unveils First Aimé Leon Dore Collaboration,https://www.businessoffashion.com/articles/retail/teddy-santis-interview-aime-leon-dore-the-north-face/,"Aimé Leon Dore’s founder Teddy Santis details what he hopes to be a recurring collaboration with The North Face, which is aspiring to lean further into lifestyle apparel as it seeks to double its revenue.",[],2025-08-21T04:30:00
Business of Fashion,Why Off-Price Is Entering a New Golden Age,https://www.businessoffashion.com/articles/retail/tariffs-off-price-retailers-tj-maxx/,"With stronger-than-expected sales, a higher annual forecast and a playbook built for tariff turbulence, TJX is proving that off-price is not just resilient but ascendant in fashion — leaving traditional retail competitors scrambling to keep up.",[],2025-08-20T22:32:19
Business of Fashion,"Coty Annual Revenue Slides 4%, Eyes Turnaround in 2026",https://www.businessoffashion.com/news/beauty/coty-earnings-second-quarter-2025/,Chief executive Sue Y. Nabi said the US conglomerate had returned to a healthier baseline as it plans to double down on fragrance mists and designer beauty launches over the next year.,[],2025-08-20T20:46:00
Business of Fashion,Pop Mart CEO Says Labubu-Maker’s Revenue Could Hit Over $4 Billion This Year,https://www.businessoffashion.com/news/retail/pop-mart-ceo-says-labubu-makers-revenue-could-hit-over-4-billion-this-year/,"The toy company saw its half-year profits soar nearly 400 percent, driven by overwhelming demand for its collectible toys like the Labubu doll.",[],2025-08-20T09:41:54
Business of Fashion,Swatch’s Racism Controversy Ticks Up Growing Challenges,https://www.businessoffashion.com/articles/luxury/swatchs-racism-controversy-ticks-up-growing-challenges/,"The Swiss watch giant is under fire for an ad depicting an Asian model pulling their eyes into slits — sparking outrage in China, its biggest market. The backlash comes as tariffs, a strong franc and weak demand weigh on the watch industry like rarely before.",[],2025-08-20T04:30:00
Business of Fashion,Skate Sneakers Are Catching Air Again,https://www.businessoffashion.com/articles/sports/skate-sneakers-are-catching-air-again/,"Despite sluggish sales in recent years, skate sneakers are finding momentum again as a value-priced option fuelled by innovative designs.",[],2025-08-19T04:30:00
Business of Fashion,"Laopu Gold Sales, Profit Growth Beat on Robust China Demand",https://www.businessoffashion.com/news/luxury/laopu-gold-sales-profit-growth-beat-on-robust-china-demand/,"Laopu’s rapid growth comes in sharp contrast to the struggles of some high-end Western retailers in China, defying a consumer pullback in an uncertain economy.",[],2025-08-20T13:41:58
